# This file contains ~14,000 BRDF measurements
# for vegetation. This data was gathered using the
# Cloud Absorption Radiometer (CARs) sensor
# during the CLASIC mission over Oklahoma.
# This data is for 479 nm
# Visit https://car.gsfc.nasa.gov/ for raw data
# and more details.
# See Satellite Optical Brightness (Fankhauser et. al)
# for more information.
#
# phi_i     theta_i     phi_o     theta_o     brdf
30.420     180.000     15.000     360.000     4.30758e-01
30.420     180.000     83.000     42.000     3.15425e-01
30.420     180.000     85.500     223.000     1.92049e-01
30.420     180.000     51.500     333.000     3.87289e-01
30.420     180.000     0.500     187.000     2.05520e-01
30.420     180.000     16.000     35.000     3.37376e-01
30.420     180.000     12.000     76.000     2.13862e-01
30.420     180.000     62.000     143.000     1.04859e-01
30.420     180.000     3.500     330.000     2.51067e-01
30.420     180.000     12.500     126.000     1.58403e-01
30.420     180.000     0.000     229.000     2.11692e-01
30.420     180.000     78.000     29.000     3.35657e-01
30.420     180.000     37.000     269.000     1.49001e-01
30.420     180.000     71.500     336.000     3.44638e-01
30.420     180.000     84.000     67.000     2.50279e-01
30.420     180.000     82.000     324.000     3.47930e-01
30.420     180.000     13.000     354.000     3.74186e-01
30.420     180.000     85.000     122.000     1.81237e-01
30.420     180.000     21.000     170.000     1.16472e-01
30.420     180.000     48.000     307.000     2.49170e-01
30.420     180.000     5.500     153.000     1.73102e-01
30.420     180.000     7.000     285.000     2.09152e-01
30.420     180.000     59.000     126.000     1.05610e-01
30.420     180.000     44.000     175.000     8.66877e-02
30.420     180.000     50.500     332.000     3.81079e-01
30.420     180.000     39.000     11.000     3.93270e-01
30.420     180.000     43.500     240.000     1.11235e-01
30.420     180.000     56.000     222.000     1.07245e-01
30.420     180.000     41.000     168.000     8.73961e-02
30.420     180.000     16.000     14.000     4.38455e-01
30.420     180.000     56.000     293.000     1.89692e-01
30.420     180.000     28.000     130.000     1.14864e-01
30.420     180.000     62.500     282.000     1.71986e-01
30.420     180.000     39.500     13.000     4.01752e-01
30.420     180.000     54.000     37.000     2.86886e-01
30.420     180.000     81.500     72.000     2.36943e-01
30.420     180.000     32.500     346.000     3.88095e-01
30.420     180.000     23.500     280.000     2.14892e-01
30.420     180.000     48.000     205.000     9.53391e-02
30.420     180.000     14.500     184.000     1.36341e-01
30.420     180.000     67.500     230.000     1.26722e-01
30.420     180.000     33.000     12.000     3.97500e-01
30.420     180.000     70.000     227.000     1.32250e-01
30.420     180.000     53.500     347.000     4.29116e-01
30.420     180.000     46.000     8.000     4.36920e-01
30.420     180.000     17.000     107.000     1.61339e-01
30.420     180.000     36.500     359.000     3.99590e-01
30.420     180.000     68.500     51.000     2.41922e-01
30.420     180.000     5.000     11.000     2.49700e-01
30.420     180.000     23.000     242.000     1.34224e-01
30.420     180.000     1.500     180.000     1.96090e-01
30.420     180.000     40.500     39.000     3.30136e-01
30.420     180.000     30.500     14.000     3.97462e-01
30.420     180.000     65.000     128.000     1.15059e-01
30.420     180.000     49.500     158.000     8.82035e-02
30.420     180.000     21.000     100.000     1.61549e-01
30.420     180.000     21.500     254.000     1.50162e-01
30.420     180.000     27.000     4.000     3.98687e-01
30.420     180.000     8.000     172.000     1.66692e-01
30.420     180.000     8.500     350.000     2.97382e-01
30.420     180.000     69.500     150.000     1.21965e-01
30.420     180.000     15.000     227.000     1.48707e-01
30.420     180.000     9.500     175.000     1.56369e-01
30.420     180.000     13.000     356.000     3.77185e-01
30.420     180.000     52.500     247.000     1.20421e-01
30.420     180.000     8.000     121.000     1.77747e-01
30.420     180.000     30.000     79.000     1.83720e-01
30.420     180.000     66.000     13.000     3.54315e-01
30.420     180.000     70.500     0.000     3.79917e-01
30.420     180.000     76.000     225.000     1.53563e-01
30.420     180.000     7.500     17.000     3.00457e-01
30.420     180.000     84.000     259.000     1.97632e-01
30.420     180.000     21.000     310.000     2.94109e-01
30.420     180.000     80.000     97.000     1.88932e-01
30.420     180.000     46.500     347.000     4.46512e-01
30.420     180.000     65.500     243.000     1.29863e-01
30.420     180.000     60.000     139.000     1.02185e-01
30.420     180.000     82.500     196.000     1.81270e-01
30.420     180.000     56.500     271.000     1.48208e-01
30.420     180.000     62.500     188.000     1.04273e-01
30.420     180.000     21.500     146.000     1.20350e-01
30.420     180.000     40.500     159.000     8.87062e-02
30.420     180.000     72.000     92.000     1.65806e-01
